sentence,target
넷플릭스에서 키즈용 애니메이션을 검색해줘서 아이들을 위한 것을 찾아보자.,2
넷플릭스 검색 결과에서 내가 아직 안 본 영화가 뭐가 있는지 알려줘.,2
이번 주말에 친구들과 넷플릭스에서 검색한 영화를 볼 예정이야.,2
초보자를 위한 캠핑 체크리스트를 구글에 검색해줘.,1
이 호텔의 후기와 평점을 구글에 검색해줘서 예약할지 말지 결정하자.,1
애플 TV에서 볼만한 스릴러 영화 추천 받아보려고 긴장감 넘치는 걸로 찾아볼까.,0
넷플릭스 검색 결과 중에서 내가 아직 안 본 영화를 우선적으로 보여줘.,2
오늘 밤 어떤 영화가 상영 중인지 구글에 검색해줘.,1
어 유튜브에서 좋은 자기개발 책들 리뷰 좀 찾아볼까?,3
넷플릭스 검색으로 어린이용 애니메이션을 찾아봤어.,2
애플 TV에서 그 인기 있는 요리 프로그램 시리즈 다시 볼 수 있을까.,0
방금 그 노래 가사가 궁금한데 구글에 검색해줘.,1
아이들이 좋아할 만화 영화 유튜브에서 추천 받아볼까?,3
유튜브에서 요즘 인기 있는 뷰티 블로거 찾아보자?,3
저번에 놓친 애플 TV의 그 스포츠 경기 하이라이트 찾아보자.,0
유튜브에서 새로 나온 팝송 뮤직비디오 찾아보는 건 어때?,3
어제 놓친 그 TV쇼 에피소드 애플 TV에서 다시 볼 수 있을까.,0
넷플릭스 검색으로 과학과 기술 관련 다큐멘터리 목록을 만들어줘.,2
유튜브에서 0K 자연 풍경 영상 검색해줘?,3
넷플릭스에서 검색한 영화 목록을 기반으로 나만의 영화 추천을 해줘.,2
해외여행 갈 때 필요한 준비물 목록을 구글에 검색해줘.,1
해외 여행 필수 준비물 목록을 구글에 검색해줘.,1
넷플릭스 검색을 통해 내가 관심 있는 주제를 다룬 영화를 찾아줘.,2
유튜브에서 아침 요가 루틴 영상 검색해줘?,3
가족 여행지 추천을 구글에 검색해줘.,1
애플 TV에서 최신 패션 트렌드에 관한 프로그램 찾아보자.,0
유튜브에서 그 유명한 셰프의 비건 요리법 찾아보자?,3
넷플릭스에서 검색한 컬렉션 중에서 최고의 영화를 추천해줘.,2
유튜브에서 최근 인기 있는 팟캐스트 추천 좀 찾아봐야겠다?,3
오늘 저녁에 볼만한 새로운 코미디 영화 애플 TV에서 찾아보자.,0
전자책 대여 방법을 구글에 검색해줘.,1
유튜브에서 요가 초보자를 위한 시리즈 찾아보자?,3
이번 주말에 볼만한 애플 TV 오리지널 시리즈 뭐가 있을까.,0
애플 TV에서 이번 주 아이언맨 개봉할까.,0
운동하기 전에 유튜브에서 좋은 스트레칭 비디오 좀 찾아볼래?,3
집 근처 베스트 카페를 구글에 검색해줘.,1
넷플릭스에서 검색한 영화 목록을 다른 사람과 공유하고 싶어.,2
유튜브에서 초보자를 위한 사진 촬영 팁 검색해줘?,3
주변의 공예 워크샵 일정을 구글에 검색해줘.,1
넷플릭스 검색 결과에서 내가 좋아하는 감독의 작품을 우선적으로 보여줘.,2
애플 TV에서 어떤 신나는 음악 콘서트 라이브 스트리밍이 있는지 찾아보고 싶어.,0
유튜브에서 마음 챙김 명상 가이드 검색해줘?,3
유튜브에서 DIY 홈 데코 프로젝트 찾아볼까?,3
내일은 친구들과 함께 넷플릭스에서 검색한 영화를 시청할 거야.,2
오늘 저녁에는 무엇을 볼까 애플 TV에서 추천하는 새로운 드라마 시리즈를 찾아보자.,0
유튜브에서 지난 주말 프리미어리그 하이라이트 검색해줘?,3
애플 TV에서 주말에 볼만한 가족용 애니메이션 영화 추천 찾아보려고.,0
다음 주에 개최되는 공연 스케줄을 구글에 검색해줘서 티켓을 예매할 계획이야.,1
이 식당의 메뉴를 구글에 검색해줘서 어떤 음식이 있는지 알아봐.,1
애플 TV에서 이번 주 인기 있는 다큐멘터리 시리즈 찾아보자.,0
초보자를 위한 프로그래밍 언어를 구글에 검색해줘.,1
넷플릭스 검색 결과로 인기 있는 시리즈를 찾아보고 있어.,2
넷플릭스 검색을 통해 오늘 저녁에 볼 영화를 추천해줘.,2
넷플릭스 검색을 통해 내가 좋아하는 배우가 출연한 영화를 찾았어.,2
넷플릭스에서 검색해서 찾은 영화 중에 좋았던 거 있어.,2
유튜브에서 코미디 영화 리뷰 모음 검색해줘?,3
넷플릭스에 있는 코미디 영화 중에서 웃긴 것을 추천해줘.,2
꽃집 창업에 필요한 정보를 구글에 검색해줘.,1
유튜브에서 웰빙과 건강에 관한 강좌 찾아보려고?,3
저녁에 볼 만한 가볍고 재미있는 TV쇼 애플 TV에서 찾아보자.,0
마라톤 대회 신청 방법을 구글에 검색해줘.,1
가족들과 함께 볼 수 있는 따뜻한 영화 유튜브에서 찾아보자?,3
저번에 놓친 애플 TV의 그 TV 쇼 에피소드 찾아볼래.,0
내일의 교통 상황을 구글에 검색해줘서 출퇴근 계획을 세워보자.,1
유튜브에서 3D 모델링 기초 강좌 검색해줘?,3
넷플릭스에서 검색한 영화 중에서 로맨틱 코미디 추천해줄래.,2
홈 오피스 꾸미기 아이디어를 구글에 검색해줘.,1
유튜브에서 편안한 재즈 음악 플레이리스트 찾아볼래?,3
애플 TV에서 새로운 과학 다큐멘터리 뭐가 있는지 찾아볼까.,0
다음 주에 예정된 휴가지의 여행 가이드를 구글에 검색해줘서 정보를 모아보자.,1
유튜브에서 TED 강연 모음 검색해줘?,3
유튜브에서 가볍게 볼 수 있는 여행 브이로그 있나 찾아보려고?,3
애플 TV에서 요가와 명상 가이드 비디오 좀 찾아볼래.,0
애플 TV에서 스포츠 경기 하이라이트 찾아볼래 어제 놓쳤거든.,0
애플 TV에서 어떤 어린이용 프로그램이 있는지 찾아보자.,0
유튜브에서 그 유명한 밴드의 라이브 공연 찾아봐야겠다?,3
애플 TV에서 스릴러 영화 중에서 가장 흥미로운 걸 추천해줘.,0
그 유명한 작가의 강연 애플 TV에서 찾을 수 있을까.,0
넷플릭스 검색으로 나와 함께 볼 만한 영화를 추천해줘.,2
유튜브에서 파스타 요리법 쉬운 버전 검색해줘?,3
이 근처에 있는 피트니스 센터 위치를 구글에 검색해줘.,1
유튜브에서 히사이시 조의 노래 모음을 검색해줘?,3
넷플릭스에 있는 내가 좋아하는 배우의 작품을 모두 보여줘.,2
온라인 사진 강좌 추천을 구글에 검색해줘.,1
내일 아침 일어나서 구글에 검색해줘야 할 일 목록을 만들어 줘.,1
애플 TV에서 추천하는 이번 주 최신 스포츠 경기 하이라이트 찾아보자.,0
요즘 인기 있는 요리 프로그램을 구글에 검색해줘서 요리 레시피를 배워보자.,1
요즘 유행하는 패션 스타일을 구글에 검색해줘서 옷을 살 때 참고하자.,1
지역 축제 일정이 궁금해 구글에 검색해줘.,1
친구가 얘기했던 그 코미디 쇼 애플 TV에서 찾을 수 있을까.,0
주말에 볼만한 영화 추천을 구글에 검색해줘.,1
애플 TV에서 퀸스 갬빗이라는 영화는 어떤 내용이야.,0
유튜브에서 세계 여행 브이로그 시리즈 검색해줘?,3
유튜브에서 이번 주 인기 있는 과학 뉴스 찾아보려고?,3
근처 데이트 코스 추천을 구글에 검색해줘.,1
친구가 추천해준 그 팝송 유튜브에서 한번 들어볼까?,3
유튜브에서 어떻게 스트레스를 관리하는지에 대한 팁 찾아볼까?,3
유튜브에서 최근에 나온 공포 영화 리뷰 찾아볼래?,3
유튜브에서 매일 아침에 할 수 있는 명상 가이드 찾아보자?,3
넷플릭스 검색으로 가장 최신 업데이트된 코미디 프로그램을 찾아봤어.,2
유튜브에서 생태학 관련 강의 시리즈 검색해줘?,3
오늘의 건강 팁을 구글에 검색해줘서 건강한 라이프스타일을 유지하자.,1
애플 TV에서 볼 수 있는 최신 뉴스 프로그램 찾아보려고.,0
최신 패션 트렌드를 구글에 검색해줘.,1
넷플릭스 검색을 통해 새로운 스릴러 시리즈를 찾아보고 있어.,2
유튜브에서 라틴 음악 플레이리스트 검색해줘?,3
유튜브에서 집에서 할 수 있는 간단한 정원 가꾸기 영상 찾아보자?,3
넷플릭스에서 검색한 컬렉션 중에서 최고의 영화를 추천해봐.,2
유튜브에서 클래식 기타 연주 모음 검색해줘?,3
유튜브에서 가정용 로봇 기술 동향 검색해줘?,3
최근에 나온 과학적 발견에 관한 뉴스를 구글에 검색해줘서 읽어보자.,1
내가 좋아하는 배우의 작품을 애플 TV에서 검색해봐줘.,0
넷플릭스 검색으로 가장 최근에 추가된 스릴러 영화를 찾아줘.,2
넷플릭스 검색을 이용해서 공부하면서 볼 수 있는 교육 프로그램을 찾아줘.,2
키즈용 애니메이션을 애플 TV로 검색해줘.,0
내가 아직 안 본 넷플릭스 오리지널 시리즈를 알려줄래.,2
이번 주말에 가족과 함께 볼 만한 영화 애플 TV에서 찾아봐야겠어.,0
유튜브에서 과학 다큐멘터리 시리즈 검색해줘?,3
