sentence,target
최근에 인기 있는 레스토랑 리스트 좀 구글에 검색해줘.,1,1
저번에 언급했던 그 책의 저자가 누구였는지 구글에 검색해줘.,1
올해의 베스트셀러 목록을 구글에 검색해줘.,1
이 근처에 있는 피트니스 센터 위치를 구글에 검색해줘.,1
다음 주 날씨 예보 좀 구글에 검색해줘.,1
방금 그 노래 가사가 궁금한데, 구글에 검색해줘.,1
근처 베이커리 상점 목록을 구글에 검색해줘.,1
해외여행 갈 때 필요한 준비물 목록을 구글에 검색해줘.,1
스마트폰 최신 모델 비교 정보를 구글에 검색해줘.,1
집 근처에서 열리는 문화 행사 일정을 구글에 검색해줘.,1
커피숍 추천 리스트를 구글에 검색해줘.,1
지역 축제 일정이 궁금해, 구글에 검색해줘.,1
박물관 오픈 시간을 구글에 검색해줘.,1
마라톤 대회 신청 방법을 구글에 검색해줘.,1
가까운 도서관 위치를 구글에 검색해줘.,1
건강한 다이어트 식단을 구글에 검색해줘.,1
최신 스마트워치 기능 비교를 구글에 검색해줘.,1
근처에 좋은 이탈리안 레스토랑을 구글에 검색해줘.,1
주말에 볼만한 영화 추천을 구글에 검색해줘.,1
비행기 티켓 예약 팁을 구글에 검색해줘.,1
효과적인 요가 자세들을 구글에 검색해줘.,1
오늘의 뉴스 헤드라인을 구글에 검색해줘.,1
최신 패션 트렌드를 구글에 검색해줘.,1
스페인어 학습 자료를 구글에 검색해줘.,1
집 근처 베스트 카페를 구글에 검색해줘.,1
근처의 산책로에 대한 정보를 구글에 검색해줘.,1
가성비 좋은 노트북 추천을 구글에 검색해줘.,1
어린이를 위한 영양식 레시피를 구글에 검색해줘.,1
주변의 아트 갤러리 전시를 구글에 검색해줘.,1
내일 날씨 예보를 구글에 검색해줘.,1
가까운 헬스클럽 회원 가입 조건을 구글에 검색해줘.,1
해외 여행 필수 준비물 목록을 구글에 검색해줘.,1
수제 맥주 만드는 방법을 구글에 검색해줘.,1
초보자를 위한 캠핑 체크리스트를 구글에 검색해줘.,1
채식 요리 레시피를 구글에 검색해줘.,1
주변의 공예 워크샵 일정을 구글에 검색해줘.,1
지금 유행하는 인테리어 스타일을 구글에 검색해줘.,1
아이와 함께 갈 수 있는 테마파크를 구글에 검색해줘.,1
집에서 쉽게 할 수 있는 요가 동작을 구글에 검색해줘.,1
가족과 함께 볼 수 있는 드라마 추천을 구글에 검색해줘.,1
최신 가전제품 리뷰를 구글에 검색해줘.,1
자전거 타기 좋은 공원 위치를 구글에 검색해줘.,1
꽃집 창업에 필요한 정보를 구글에 검색해줘.,1
가벼운 여름 읽을거리 추천을 구글에 검색해줘.,1
집에서 할 수 있는 효과적인 에어로빅 운동을 구글에 검색해줘.,1
전자책 대여 방법을 구글에 검색해줘.,1
남자 친구 생일 선물 추천을 구글에 검색해줘.,1
온라인 사진 강좌 추천을 구글에 검색해줘.,1
봄철 알레르기 예방법을 구글에 검색해줘.,1
초보자를 위한 금융 투자 팁을 구글에 검색해줘.,1
가족 여행지 추천을 구글에 검색해줘.,1
최신 모바일 게임 순위를 구글에 검색해줘.,1
홈 오피스 꾸미기 아이디어를 구글에 검색해줘.,1
건강한 아침 식사 메뉴를 구글에 검색해줘.,1
재택근무 효율성 높이는 팁을 구글에 검색해줘.,1
근처 데이트 코스 추천을 구글에 검색해줘.,1
초보자를 위한 프로그래밍 언어를 구글에 검색해줘.,1
피트니스 트래커 비교 정보를 구글에 검색해줘.,1
최근 인기 있는 팟캐스트를 구글에 검색해줘.,1
커플을 위한 요리 클래스를 구글에 검색해줘.,1
이 근처에 있는 피트니스 센터 위치를 구글에 검색해줘.,1
다음 주 날씨 예보 좀 구글에 검색해줘.,1
오늘 밤 어떤 영화가 상영 중인지 구글에 검색해줘.,1
이 식당의 메뉴를 구글에 검색해줘서 어떤 음식이 있는지 알아봐.,1
오늘의 주요 뉴스를 구글에 검색해줘서 최신 소식을 알려줘.,1
이곳 근처의 관광지 목록을 구글에 검색해줘서 계획을 세워보자.,1
내일 아침 일어나서 구글에 검색해줘야 할 일 목록을 만들어 줘.,1
이 주변에 있는 좋은 레스토랑을 구글에 검색해줘서 예약해야겠어.,1
요즘 유행하는 패션 스타일을 구글에 검색해줘서 옷을 살 때 참고하자.,1
이 작가의 새로운 책을 구글에 검색해줘서 출판일을 확인해봐.,1
다음 주말에 할 일 목록을 구글에 검색해줘서 일정을 계획하자.,1
이 주변에 있는 주요 미술관을 구글에 검색해줘서 전시회 정보를 확인해봐.,1
이번 주에 개최되는 콘서트 일정을 구글에 검색해줘서 티켓을 예매하자.,1
최근에 출시된 스마트폰 모델을 구글에 검색해줘서 기능을 비교해봐.,1
다음 주에 예정된 휴가지의 여행 가이드를 구글에 검색해줘서 정보를 모아보자.,1
최근에 나온 과학적 발견에 관한 뉴스를 구글에 검색해줘서 읽어보자.,1
이 지역에서 유명한 산책로를 구글에 검색해줘서 산책을 갈 만한 곳을 찾아보자.,1
오늘 저녁 메뉴를 구글에 검색해줘서 레시피 아이디어를 얻어보자.,1
이 호텔의 후기와 평점을 구글에 검색해줘서 예약할지 말지 결정하자.,1
오늘 축구 경기 일정과 시간을 구글에 검색해줘서 시청 계획을 세워보자.,1
이번 주에 개최되는 지역 축제 정보를 구글에 검색해줘서 참가 계획을 세워보자.,1
요즘 인기 있는 미국 드라마 시리즈를 구글에 검색해줘서 어떤 것을 시청해야 할지 알아보자.,1
내일 아침 일어나서 할 일 목록을 구글에 검색해줘서 계획을 세워봐.,1
이 주변에 있는 자연 공원을 구글에 검색해줘서 하이킹하기 좋은 곳을 찾아보자.,1
최근에 출시된 게임의 리뷰와 평가를 구글에 검색해줘서 어떤 게임을 구매할지 고민해보자.,1
오늘 밤의 별자리를 구글에 검색해줘서 어떤 별자리가 보이는지 확인해보자.,1
이 근처의 동물 보호소 정보를 구글에 검색해줘서 입양 가능한 애완동물을 찾아보자.,1
이곳 근처의 유명한 카페를 구글에 검색해줘서 커피를 마실 곳을 찾아보자.,1
요즘 핫한 음악 가수와 노래를 구글에 검색해줘서 플레이리스트를 만들어보자.,1
내일의 일정을 구글에 검색해줘서 시간 관리를 더 효율적으로 해보자.,1
다음 주에 개최되는 공연 스케줄을 구글에 검색해줘서 티켓을 예매할 계획이야.,1
요즘 인기 있는 요리 프로그램을 구글에 검색해줘서 요리 레시피를 배워보자.,1
내일의 교통 상황을 구글에 검색해줘서 출퇴근 계획을 세워보자.,1
이 지역에서 유명한 문화 행사 일정을 구글에 검색해줘서 참가 일정을 조정하자.,1
온라인 쇼핑할 때 상품 리뷰를 구글에 검색해줘서 최상의 제품을 찾아보자.,1
최근에 개봉한 영화 중에서 어떤 것을 관람해야 할지 구글에 검색해줘.,1
오늘의 건강 팁을 구글에 검색해줘서 건강한 라이프스타일을 유지하자.,1
여행 계획 중인데 호텔 가격을 비교하기 위해 구글에 검색해줘서 최저가를 찾아보자.,1
이번 달에 발표된 과학 연구 결과를 구글에 검색해줘서 최신 정보를 업데이트하자.,1
오늘의 운세를 구글에 검색해줘서 일일 운세를 확인해보자.,1
